Experiment,Subject,trueUseWeightGrp_icpt,trueWeightVar_icpt,trueUseWeightGrp_lowmem,trueWeightVar_lowmem,trueUseWeightGrp_highmem,trueWeightVar_highmem,trueRandomResponseGrp,trueRandomScale,trueUseWeightSubj_icpt,trueUseWeightSubj_lowmem,trueUseWeightSubj_highmem,trueRandomResponseSubj,TrialOrder,ItemID,CleanTrialName,TrialType,CogLoad,NormCorrectBeamResponse,WeightSide,ModLeft,ModBal,ModRight,NormBeamResponse
none,1,1.1,3.5,0,1.75,0,2.6,0.16,3.1,8.329523824736913,1.87264446143556,0.9646834827593581,0.29282093821366134,1,121,Testing_CW_30,CW,0,L,L,0.68,0.23,0.09,L
none,1,1.1,3.5,0,1.75,0,2.6,0.16,3.1,8.329523824736913,1.87264446143556,0.9646834827593581,0.29282093821366134,2,65,Testing_CD_23,CD,0,L,R,0.47,0.3,0.23,L
none,1,1.1,3.5,0,1.75,0,2.6,0.16,3.1,8.329523824736913,1.87264446143556,0.9646834827593581,0.29282093821366134,3,17,Testing_CB_23,CB,0,B,L,0.41,0.28,0.31,L
none,1,1.1,3.5,0,1.75,0,2.6,0.16,3.1,8.329523824736913,1.87264446143556,0.9646834827593581,0.29282093821366134,4,97,Testing_CW_0,CW,1,L,L,0.7,0.15,0.15,B
none,1,1.1,3.5,0,1.75,0,2.6,0.16,3.1,8.329523824736913,1.87264446143556,0.9646834827593581,0.29282093821366134,5,70,Testing_CD_28,CD,1,L,R,0.63,0.23,0.14,R
none,1,1.1,3.5,0,1.75,0,2.6,0.16,3.1,8.329523824736913,1.87264446143556,0.9646834827593581,0.29282093821366134,6,30,Testing_CB_35,CB,1,B,L,0.42,0.29,0.29,L
none,1,1.1,3.5,0,1.75,0,2.6,0.16,3.1,8.329523824736913,1.87264446143556,0.9646834827593581,0.29282093821366134,7,136,Testing_CW_44,CW,2,L,L,0.53,0.23,0.24,R
none,1,1.1,3.5,0,1.75,0,2.6,0.16,3.1,8.329523824736913,1.87264446143556,0.9646834827593581,0.29282093821366134,8,93,Testing_CD_6,CD,2,L,R,0.79,0.17,0.04,R
none,1,1.1,3.5,0,1.75,0,2.6,0.16,3.1,8.329523824736913,1.87264446143556,0.9646834827593581,0.29282093821366134,9,4,Testing_CB_11,CB,2,B,L,0.48,0.25,0.27,R
none,1,1.1,3.5,0,1.75,0,2.6,0.16,3.1,8.329523824736913,1.87264446143556,0.9646834827593581,0.29282093821366134,10,140,Testing_CW_5,CW,0,L,L,0.5,0.23,0.27,L
