Experiment,Subject,trueUseWeightGrp_icpt,trueWeightVar_icpt,trueUseWeightGrp_lowmem,trueWeightVar_lowmem,trueUseWeightGrp_highmem,trueWeightVar_highmem,trueRandomResponseGrp,trueRandomScale,trueUseWeightSubj_icpt,trueUseWeightSubj_lowmem,trueUseWeightSubj_highmem,trueRandomResponseSubj,TrialOrder,ItemID,CleanTrialName,TrialType,CogLoad,NormCorrectBeamResponse,WeightSide,ModLeft,ModBal,ModRight,NormBeamResponse
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,1,98,Testing_CW_1,CW,0,L,L,0.46,0.27,0.27,L
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,2,50,Testing_CD_1,CD,0,L,R,0.47,0.29,0.24,R
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,3,32,Testing_CB_37,CB,0,B,L,0.43,0.2,0.37,B
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,4,102,Testing_CW_13,CW,1,L,L,0.8200000000000011,0.14,0.04,L
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,5,78,Testing_CD_35,CD,1,L,R,0.51,0.28,0.21,R
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,6,11,Testing_CB_18,CB,1,B,L,0.41,0.21,0.38,L
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,7,139,Testing_CW_47,CW,2,L,L,0.63,0.22,0.15,L
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,8,70,Testing_CD_28,CD,2,L,R,0.63,0.23,0.14,R
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,9,6,Testing_CB_13,CB,2,B,L,0.37,0.31,0.32,L
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,10,121,Testing_CW_30,CW,0,L,L,0.68,0.23,0.09,L
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,11,53,Testing_CD_12,CD,0,L,R,0.47,0.25,0.28,R
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,12,24,Testing_CB_3,CB,0,B,L,0.4,0.23,0.37,L
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,13,109,Testing_CW_2,CW,1,L,L,0.58,0.23,0.19,L
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,14,87,Testing_CD_43,CD,1,L,R,0.5,0.19,0.31,B
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,15,34,Testing_CB_39,CB,1,B,L,0.44,0.31,0.25,L
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,16,97,Testing_CW_0,CW,2,L,L,0.7,0.15,0.15,L
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,17,72,Testing_CD_3,CD,2,L,R,0.8,0.15,0.05,R
none,1,0.6,3.5,0,1.75,0,2.6,0.16,3.1,2.0225805202236233,-0.7563216764551194,3.714616189547505,0.03289542453467588,18,44,Testing_CB_5,CB,2,B,L,0.25,0.28,0.47,L
